line,label
Guitar Hero party wif Caitlyn &amp; her frand.  Wee wii wee wii.,4
@nolimitshost im talking about the one you sent me as direct message ,4
"it's very nice and sunny now here in d necks of our woods. just gorgeous. they said after the rain, d sun shines &amp; clear skies ",4
"@LizDinkel lol, I figured as much...but you never know. We don't talk anymore, maybe you became easily offended... ",0
@un1xnut if only I didn't work an evening/night job ,0
is even more irritated to find that the patch doesn't even get released properly until tmrw.. whats the point of letting you do it now?! ,0
"Anyone else having trouble accessing their @ replies? When I click on the link on the right, nothing happens. I can't access them ",0
@stephenkruiser i had 2 put my dog down today too  someone ran her over,0
*sigh... gonna take a while to find all the files  argh,0
@doriantaylor I had one outside my patio. I named him Rex. Then the gardner took him down. RIP Rex ,0
"@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though. ",0
I'm going to love this season of the hills... I can tell!  Spartans sucked.    Goodnight!!,0
Running errands with Derek. Bought some herbs and veg plants for our communal garden. Let's see if we can keep em alive ,4
"@bluefur Nope, dining out.  Otherwise skill would be the biggest limiting factor and I'd be having steamed rice ",4
"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! ",0
mushaboom!  ? http://blip.fm/~4kbju,4
@SpazMoraz get up lady! See you in work ... Boohoo ,0
@AlexAllTimeLow sounds amazing can u unblock my band on all time low myspace we idolise you  (because they can),4
@Aractor hooray for drunkenness! Just don't make no babies ,4
@OfficialRandL where's the update? or have i missed something ,0
Im obsessed with urban outfitters. their clothes fit just right. ,4
@priscysinger1 btw priss no one was hurt ,4
i am so screwed up! a confused and dumb child!  i NEVER felt so bad all my life! i wish i have any specialty! too bad i have none ='(,0
"slumdog millionaire was a really good movie. too sad though, i wont be watching it again for some time  but very nice ending ",4
@VBalasubramani I love @nikiblack's dinner tweets and pics! ,4
Now i want Amanita  ...someone made me feel unliving.,0
@daniela_95616 hahaa!! i just realized &quot;impune&quot; definitely isnt the word i wanted... dang. i'm so unclever. ,0
"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",0
I really wish I had not bought the camera-less E62 that day when my 6680 went dead. I miss photographing little things. dSLR is too bulky ,0
Can't seem to get over the dissapointment of haveing absolutly no one notice I am gone. Sad   I must not be boring I must not be boring...,0
I miss watching Rocko's Modern Life. ,0
"@iheartyelle So you had two!? That's awesome! Good to hear, good to hear. Boys aren't everything, no worries. Just have fun with it. Haha ",4
"@fakerpattz oh, thats soo funny. people love you Rob!  (i would buy that car...)",4
"Getting changed in the hopes that, that means we can go to the store now!  Poor cat is out of food...oops. ",0
watching Sweeney with mommy and Kaitlin. ,4
seeing that shouldnt have made my stomach flip like it did ,0
i feel unloved. dropped 2 tweeters ,0
*cough*cough*cough* that's all I seem to do right now ,0
"@JennetteMcCTeam I love your role on iCarly, Bye ",4
Errrggggg! My tummy hurts. ,0
is wishing he loved me ,0
"decided to rejoin aerobics cos I know I won't exercise if i don't. after paying for it, i only have RM3 left in my bag ",0
"@_adriii OMGOSH, they're like biscuits, so so so yum. xD you haven't lived until you've eaten them missy :p &amp; i miss you too  x",0
@vandaronas You mean make your liver happy!  #ttl,4
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,0
"If this day doesn't prove my love, I dunno what else will! Been on my feet all day doin' WORK!  But I enjoyed it.",4
@JimDuncan @bradcoy YES! I disagree with your assertion that real friends are the ones you can disagree with and then go grab a beer. ,4
is typing something for fatherrr  http://plurk.com/p/ox8ee,4
I love making &quot;just called to say I love you&quot; calls. ,4
I had a bbq stain on my white tshirt. She was killing me in that mini skirt. A heart dont forget something like that. ,4
Still a got headache  . Getting ready for work,0
"I don't think I like the Saw ride at Thorpe Park. The tv ad makes me feel sick, so goodness knows what the ride would do. ",0
@chauncey78 hey did u talk to mom.. r they home yet? i hope they r ok.. wish i was coming home 4 easter.. ,0
"WOO HOO!!! You go, Mark Martin. He came, he saw, he kicked NASCAR butt!  &lt;&gt;&lt;",4
@TankaBar_Linda U may want to follow @coffeegroundz. He is a coffee house in Houston. A great follow. ,4
this is quite kwl ,4
@item84micah I'll talk to ya.  how's the new cd coming?,4
I wish some one would have told me a 6-year-old's bday party at Gatti's was this exhausting!  Phew!  And I have 100 tickets.  ,4
someone keep me up....im at work ,0
"such a great day! lunch w roomie, 6 mile walk, voice lessons w/ jo and now out for the night ",4
@lanaRISQUE hahahahhha!! hows your food poisening going? has it gone away? ,0
Anybody know where my iPod went? ,0
@babybazooka i do too...but it's hard ,0
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",0
just finished cooking spag bol from scratch.. in other words been cooking for the past 4 hours! i'm not hungry anymore ,0
"@FoxWhisperer No, I didn't ",4
@elizabeth_lane - WHY? ,4
@qweendassah no...he's still miss'n... ,0
No TravoRadio this morning. BlipFM is down. ,0
has just become a Twitter ,4
enjoyed some of the sunny weather. I love living in so cal ,4
In atlanta catching up with an old pal.  GJK+KWR,4
finding it really hard to use twitter ,0
owww.... just hit my elbow really hard on a door ,0
@stephenkruiser that's horrible  sorryto hear that.,0
Damm back to school tomorrow ,0
@jennettemccurdy ohman after hearing you sing so far away i REALLY can't wait for your album ,4
Sodding M25   http://twitpic.com/2y3y0,0
@thisisguan ,0
@mishalmoore Hey   Just got you inbox message and yes we absolutely do. I couldn't send you an inbox message back. Don't know why.,4
@dtparks37 Thats the truth.  I love my job but loved it more when the economy went south!!  ,4
@raymondroman oh noes. how did you manage to send something to the trash can AND empty it without noticing! i feel for ya ,0
"@RussyRhubarb A new twitter name without telling me? Boo. By the way, I think Oberon is dead  Haven't seen him for ages...",0
@rainnwilson i made an account on your website! I LOVE IT! especially the challenge about 5 beginnings to your autobiography ,4
@bluesound27 I concur. and I'll be sure to take pics next time ,4
has finally been reunited with my pillow...a little early but it's been a busy day ,4
"@nick_carter Time for Warcraft yes, but for a simple game of a group of fans no  Just let us know if u figure it out, you want the prize?",0
"@yourbadhabit energizer, huh?  ",4
"@thespunkyone No, they're gonna choke the next 4 games ",4
@latroneb oh but there's one bestie missing ,0
@DEW_me &quot;View Twitter: Standard | Mobile&quot; &amp; I just click on &quot;mobile&quot;. ,4
@Ianto_Jones be afraid dude... and back away from the tweets slowly... ,4
YES FINALLY. going out to nicoles to drank and have a bonfire ,4
http://twitpic.com/3krg1 - at supercross at quest field with Krissa and some marines ,4
@deepbluesealove Your beau's not online tonight  bummer for U...And No music either!,0
@ThiaHeartsNick OMG THIA!!!! O.O You met him!!!! That's freaking awesome!!! ,4
@KelseyisRAD mkk. Sounds good. ,4
"@loveygoo   was a pop rock gig ... i m a sound engineer i usually make the sound on stage for the musicians , so they can entertain you ;)",4
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,0
"went to the Hannah Montana Movie, again. I love it. I love you Miley ",4
@studioix added you as a contact @onthecity and left you a message on your profile man ,4
@RagsTwoRiches Let's hope the Rangers 5 game winning streak becomes a 7 game winnning Streak.  that would be awesome. ,4
@twittera que me muera ? ,0
"@TalulaKim Re. visiting-I know! Been way too long. So we'll plan it before our 20th high school reunion then. LOL   (OMG, we're old!) LOL",4
@CrisRepoles ooh MobileChat looks good  thank you ,4
@seanporter thank uuu! i know i heard youre in dallas ,0
"@AHolmes_NJ I was able to DownThemAll! before TA was able to delete my account. Didn't lose any photos, but I lost almost all comments ",0
@ladygaga I cant wait for the new video ,4
@danadearmond ,0
@souljaboytellem love u soulja boy ..::muah::.. Kiss u thru twitter lol ,4
Saturday night and here it sit! Broken hearted and need to ----have some fun!  And you thought I was going to make a rhyme!  ,4
"@moony394 OHH! OMG. LMAO. I'm crying right now, LOL! KUTNERRRR was the best! ",0
"I NEVER THOUGHT THAT I COULD  HATE SOMBODY, BUT I REALLY HATE YOU �TOBE D....�, I ONLY GAVE YOU ALL OF MY LOVE AND YOU  PAY ME SO BAD! ",0
Mir every single morning I feel sick ,0
@tornpantyhose AHAHAHAHAHAHAHA *clears throat* i'm sorry Cat! ,4
"Why is it that anytime that I plan what do, I get sick and all the plans go out the window. ",0
(@wow_its_parris) ahaha let me high five your ass please  Going to Bed.,4
I have been pretty anxious lately,0
"@Nellypt Good friend of mine, I'm also his personal assistant ",4
sad that the weekend is coming to an end . . . But it was a great one! ,4
an ice cold glass of water sounds good just about now. been working my fluffy panda asscheeks off. and im finished ,4
"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?",0
"think im an insomniac, i just cant sleep..    birthday in 5 days... oh yay. ~_~",0
"@McAdamBach Yo yo Bro! well i put a few video's up! one of Nathan &quot;jumping&quot; into that river!!! good times, good times  anyway love ya ",4
monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,0
@VictorAbsinthe i want a hookah too  hahaha. why am i a jewish lady?,4
"Death is peaceful,  life however, bites ",0
"Had to change my password, I forgot, I'm old. ",4
"@runawaystarling unfort, msn is a douche and a half to me ",0
Pretty anxious,0
@HumanOpium pretty much just scary for me ,0
@UglyGerbil holy cow...I saw baby birds!  That peregrine falcon cam is cool ,4
@mobilebitch  Ooops.. I had a bug   But I fixed it..    Try that tiny URL again..,4
"@OnlineMigration me too!, although im still going  hehe",0
I need some selsun blue...pretty sure i have a small spot of haole rot ,0
Seems jRuby support for hpricot is now two versions behind ,0
"@nadinenarciso .... okay, it's sucks.  )))) have fun over there, fellow vintage fashion lover &gt;&lt;",4
@bradhfh Hello! you stoped talking to me  lol,0
Dancing Bears. ,4
"@spidercam Ha ha.  Us too! Yeah, I figure whatever we're blessed with is best for us.  So we're ready either way ",4
"@Franklero Hey frakie, how are you??? ",4
@RichardJMolina Yeah man it was.. i'll be ok lol ... positive attitude regardless of the dissapointments ya dig... ,4
Being grumpy. Abu Dhabi is so boring. There really is nothing to photograph and no one to go with ,0
had the worst dream abt some turd face i used to date... ugh. it was awful. ,0
@bursaar Good for me. I haven't gone to bed... ,0
partying it up tonight at J lounge in downtown LA. Its a nice sunny day in cali! ,4
"Going to the Twisted Vine w joyce. Its so nice out, wanna sit outside and have a nice glass of white wine. Yes sir. ",4
"im never on this. haha. just got home a while ago from my dance competitionnn, now i'm watching twilight/house bunny with alyssa! wooop ",4
"About to shower, which I hope will wake me up at last. Oh, and the synth experiments yielded nothing last night ",0
@misterphipps you cooked risotto without me!!??? ,0
@teemwilliams lets work together! ,4
I'm in one of those days when I really just want to work from home.  Crap. ,0
@derrich yes. ,4
@JAYCALA now you have ME following YOU!! ,4
@djginaturner no le gusta house of house 5 min intro ,0
@thelmarockz thelma I can't see shiz I see blank and me and u comments ,0
"@BiblioBrat LOL, nope, not me... but you've got to encourage these things when they happen ",4
I wish i could go 2 bed with out having 2 take an allergy pill. ,0
"Dammit, episode 3 of Kings won't play for some reason  stopped in the middle now won't do anything",0
can't sleep and dunno why! ,0
@AmandaEnglund Sorry to hear about your loss.     There have been many this year so far.,0
super excited for the new album @EADave ,4
@AlexaHenrie aaaaww i think i hear the wedding bells  who the brides maid? MOI!,4
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,0
Behind on my classes for work ,0
@hillarylovesatl Niggg im following you ,4
"Reeked of alcohol at the dentist this morning + was drunk when i put on my tshirt, realised it had a huge stain. Dentist looked disgusted ",0
awh damn! my puppy has ticks ,0
@heidimontag Have fun. I'll go to bed now.  It's 2 AM here in Germany. And its rainy and cold. Have a nice day!,4
i ate a very fat crab. YUM hahahaha! ,4
Is now eatin some blueberry pie with ice cream ,4
so a murder? gotcha.  Cant believe it,0
"@craziixanna lol you know im just saying that in my point of view, cause i did like him but knowing thatyou don't like him i understand ",4
@devakishor Oh oh! That's sad! ,0
@SLyvettexoxo good night! Sweet dreams to you! ,4
"its already 1 in the a.m. I need to sleep, especially since I have to be at school for 12 hours ",0
"@ItsDessa Come to sushi tomorrow with Dana, Diana and I! ",4
@BillyBush she admitted to being a fake  ,0
"@JCTurner Yeah, not good. Even going back to 2.2.1 didn't resolve it. ",0
"@MonaSmith sadly, yes. i think i need counciling now ",0
Couch shopping - lady got manager down to tell me they couldn't do free delivery on the good deal.. went to leave - turns out they could! ,4
omg... &quot;The Reader&quot; is making me ,0
Sorry for the next tweet... ,0
@brettyboo why were u sleeping?! Ur gonna be up all night now  how was ur bike ride?,0
"I found my MADDEN '08!  in '09  ...oh well, I say Old is New Again!",0
Ummm so I have to wait until 6am for the video ,0
@somegeekintn  wavesback even though you are long gone ,4
"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ",0
On a lighter note...Congrats to Indelible 38 Spr. 09' !!!! My grand babies ,4
Good morning ,4
@lolitariot oh no  hope you're not getting sick too!,0
"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache ",0
@ijustine Really?? you saw him? I love bon jovi ,4
i might break down and eat some buffalo wings tomorrow ,0
I'm addicted. I love the song poker face. ,4
"My heart is abused with so many hurtful lies and truths. I hate being sappy about these kind of things. I hate it  Gold for syf, k?",0
@MorenoLRC =( Wang needs to go to Minor League! =( and you can take hi spot in the rotation ,4
@astewart87 oh my gosh that made me emotional haha idk why!!! i dont want to get old ,0
@edmigper which is why I almost never argue/debate in political forums.  (insert Danny Gliver quote here) ,4
#mhbigcatch 8oz Golem  But finally got a Wight - 3oz,0
"Noes, my goat-wool socks have worn through ",0
@mileycyrus I would too if it meant spending a day in heaven w/my mom and getting to see her again. ,0
@Mango_ten May 28-31 and if your staying in the hotel you need to help pay. and do you  wanna cosplay if so ask hannah. ,4
LOVE Amy Lee  ? http://blip.fm/~4kdsm,4
Just woke up ,0
nice break in the music  #asot400,4
hot deadline... ,0
@iamdiddy  What do you mean that they don't sprinkle crack on KFC?! What a letdown! ,4
A day negotiating wth insurers after spilling beer on my laptop last night.  Probably to no avail. ,0
Also I shouldve Bern asleep an hour ago ,0
@cecilialee it's my first in three months  i'm so happy,4
"_secretgarden_ I haven't gotten any porn spammers  I don't check my followers, but haven't had any tweets like that.",0
Bout 2 get rdy 2 go 2 Lucky Strike in Hollywood! ,4
and finito! All bathroom contractors been thru the house. Quotes incoming then i need to bite the bullet ,0
wrote papers...took quizzes...generally got stuff done...i'm finally getting into this whole college thing! ,4
@BylliCrayone i'll be sure to keep away from them ,4
this week is not going as i had hoped ,0
omg exams killed me  how could i not know the difference between haif a circle and a hemisphere &lt;/3 &gt;,0
...solar lullaby http://tinyurl.com/d85hjf gotta love aya... you're not the only one ,4
@lilcausey29 http://twitpic.com/3kpft - awww that's so cute ,4
@Henkuyinepu it's overrated ,0
i hate to see the spartans so sad ,0
"Another quick intro: co-ordinating from our Head Office in Paris is Pascal Coraboeuf, our Online Communication Manager. Bonjour Pascal. ",4
may hold off on hawk. Getting a job first might be a better idea... But i want it. ,0
"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",0
cant wait to hang out with eliza. my sis has a beauty pageant tomorrow... fun ,4
"Today was a less interesting day on Twitter. @cboyack , @igeldard , and @iidiocracy were all kind of quiet today ",0
"everyone seems to be taking a twitter break...  good for yall, seeing the outside world and everything... ",4
"@Skunkie Sorry, I guess sarcasm is hard to show in 130 characters.  ",0
is eating home made anzac cookies in bed... yum... tasty treats just for me! ,4
@featherinair call me back. ,0
@mayonaise94 absolutely  where are you from?,4
ill so i cant go to the cinema!! ,0
I'm Not There is on HBO in 30 minutes! Got excited then remembered I should get some sleep tonight. And why is it not on again soon? Sad ,0
@MarcusMims wow i didn't get an &quot;hello&quot; u suck ,0
I'm glad I'm not the type of person that can't just ever spend a saturday night alone. Srsly. Home. Cleaning. Drinking. ,4
cleaning my room and listening to songs about moving on with my life. ,4
@shortiethug how come ur background covers the screen but mine is in the corner? ,0
loves her iPhone but hates the fact tjat she needs to charge it often ,0
@eapenner Just got the &quot;old geezer production: Erika and Steve's Adventure&quot; disk. Cannot wait to watch it ,4
I hate money... ,0
@ryleebeth ye im not  very sad...but weirdly enough shes lettin me go 2 da party?? how confusing parents r?? lol,0
is about to kill off one of her favourite characters. Dawww ,0
it is really cold ,0
has nothing to contribute to a discussion of Angels and Airwaves vs Blink 182  ,0
@trash_kitten  solution will be found!,0
@deustch whats up? Just got off the computer. Good to see you are on and all is twitterific! ,4
@suziam thank god for that! ,4
out with the girls getting wasted ,4
@DanielCalderonL yeaah I hate that! ,0
@C_Elizabethxo Yeah totally. Lulz actually that would be a better definition. Uhm. http://en.wikipedia.org/wiki/Drag_racing ,4
http://twitpic.com/3k5dv - Makin bbbeeeauuutiiiffulll muzaic ,4
"morning all. So tired today, should've stayed in bed ",0
"Panda express and golden spoon mmmmm   Duck you hos, get a grip",4
"At work, and a little sick ",0
Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ,0
@mandayyy   ,0
definitely no vacation for me...   http://plurk.com/p/mzygb,0
"@laylakayleigh i have to go skydiving,  ill let you know next the time im in town ",4
This sickness is making it impossible for me 2 sleep!! That and how hot I am ,0
Got to do Spanish revision today ,0
http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out,0
 Heroes is losing it's momentum ): come on writers pick it up!!!,0
figuring out twitter ,4
@BookingIt Thanks  But having a hard time justifying all the lovely sugar in said ice cream ;),4
@Tatiana_K nope they didn't have it ,0
Something got into my eye...now its itchy. aw. ,0
is grouchy. and wants bmar ,0
@ascendant: we need to talk!!! shoot me ur digits again please ,4
@mattpro13 legitimately good cops out there ,0
"@Cuckolds I'm being set up again except now I'll have to watch her with 2 huge membered guys, I feel like a hat stand ",0
having a horrible headache day and nose bleeding...awful feeling ,0
No picnic  my phone smells like citrus.,0
"I had plans today, and now I'm scared of you know, moving, for fear of teh boke  fml.",0
I suddenly miss my Flintstones vitamin tablets  SOOOO GOOOOD,0
No music today. Blip.fm is undergoing maintenance ,0
"@DefyingDestinyy lmao, that sounded so dirty. sean BIGGERSTAFF haha. ",4
time to go dream ,4
@lexrouse yes- when it was owned by Paramount u could ,4
@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,0
@cbschmidt @ischilling imagine i would live at the US west coast than it wouldn't be to late to say &quot;happy birthday&quot; on time ,4
@ryansheckler30 heyy ryan. you are amazing . and i love your show! ,4
the future is no more as it used to be ,0
@iMoby haha she was already there.. and wouldnt move so i sat on her  and then i thought it was funny so it turned into a home photo shoot,4
"@gerrycoe Hi Gerry, I'm in Dublin most of the time; college ",0
@emilyosment09 hi  you're really pretty.,4
tks pa 4 &quot;tapauing&quot; croissant tuna knowing dat Ive back-to-back meetings since morning  &amp; Zuraidah tks 4 buying my FAV STARBUCK MOCHA FRAP,0
feels like crying that's how sick i feel ,0
after 2am and i'm still sniffling and sneezing. can't sleep. morning is going to come way too early ,0
@kevinthornton You crack me up. So practical. ,4
@panasonicyouth Fucking Awesome!!!!! ,4
I wish this was easier. Or that you got the hint. booooo ,0
"it is 10.13am in melbourne, australia, and i haven't slept in 2 days! ASOT400 is the bomb!  o/ #asot400",4
can't sleep.  And wondering why my following keeps going down?    Guess I gotta try and be more interesting!  Haha.,0
@WhiteHotTruth Thanks so much for all the inspiration! Definitely got my fire rekindled ,4
have watched that considering today. yaknow. shawnna tomomorrow;i need my bestfriend ,0
@cherrycokerocks It worked!! ,4
@wethedan you did an awesome job tonight in ATL! your rapping skills are awesome ,4
@CathyKGray Coolies.  We have a big surprise for interesting reading when you return to the land of the green.  ,4
Thinking of pay day.....another 3 weeks to go  lol,0
@Deathofarobot Glad you caught on to the subtlety.  I really did say that for a reason.,4
"OK so I stayed up, but didn't watch heroes  Did admin stuff and WP stuff, learned some new WP stuff and finally happy with the layout",0
staying home with my lil girl... shes soo funny.. ,4
@EvilUnicorn will do  &lt;3,0
 haha have fun girl. Have fun at thaaat mormon dance tonightt too!!,4
"@OHYEAHmikeman hahah yeah, very.... -_- hahah me and my smiley faces. that window needs to be closed ",4
"flat out today didnt get everythin done &amp; endured massive headache, fever and nausea. still have to finish my essay &amp; work tomory all day ",0
I so hate homeworks -.- My head hurts so bad ,0
@RadRobyn Hi Robyn! LOL you were hilarious! ,4
"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",0
Audi vs BMW Billboard war draws to its end. Audi kills BMW with the R8.  http://bit.ly/pENMv,4
"@robcthegeek Once upon a time Hundred Islands was the pride of Philippine tourism, but coral/clam/rare fish poaching did it in. Kinda sad ",0
"Not feeling well again. Stupid migraine making my tummy upset.  and my whole body aches, shoot me now.",0
@pappup Awwwww...our mom wants to pet you! ,4
On my way to Ryan's with Andy! ,4
cuz like troybolton is the hottiemcsuperbob. omfgz. my nail buds  - cries -,0
@littleredpixie cute follow ,4
Went to see &quot;The Greater Tuna&quot; tonight... save your $50...  it's better spent at the casino  ,4
@aidengigteam Hiya Bev!  I saw you at Angel with Adele aha  You gonna be at the Manchester gig in June? xoxo,4
@HappiForever they want to turn the woods into a park tho- a stupid park. its so lame. we're all fighting back  woo!,4
@murphylee Great job tonight - y'all killed it!! ,4
would it be possible to hire a sitter to sleep over so they could wake up with Katie one day a week?  ...so tired...  ,4
"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",0
@indiblogger  do i neeI dotn get any comments and suggestions ,0
@MsTyraC lol yea I thought about tht ..sowey  but thnx I have some rod ones sitting around&quot; orange my fav color just didn't kno how 2 use,0
Check out my mug  http://www.erika-obscura.blogspot.com,0
"Train rammed, fellow commuters vile . Special derision reserved for the man who appeared out of nowhere to claim 'his' seat. Luggage rack ",0
